Entity	Annotation	Comment
http://af.dbpedia.org/resource/Duitse_Demokratiese_Republiek	East_Germany	ER
http://als.dbpedia.org/resource/Deutsche_Demokratische_Republik	East_Germany	ER
http://an.dbpedia.org/resource/Republica_Democratica_Alemana	East_Germany	ER
http://ar.dbpedia.org/resource/ألمانيا_الشرقية	East_Germany	ER
http://arz.dbpedia.org/resource/المانيا_الشرقيه	East_Germany	ER
http://ast.dbpedia.org/resource/República_Democrática_Alemana	East_Germany	ER
http://az.dbpedia.org/resource/Almaniya_Demokratik_Respublikası	East_Germany	ER
http://be-x-old.dbpedia.org/resource/Нямецкая_Дэмакратычная_Рэспубліка	East_Germany	ER
http://be.dbpedia.org/resource/Германская_Дэмакратычная_Рэспубліка	East_Germany	ER
http://bg.dbpedia.org/resource/Германска_демократична_република	East_Germany	OK
http://bn.dbpedia.org/resource/পূর্ব_জার্মানি	East_Germany	ER
http://br.dbpedia.org/resource/Republik_Demokratel_Alamagn	East_Germany	ER
http://bs.dbpedia.org/resource/Njemačka_demokratska_republika	East_Germany	ER
http://ca.dbpedia.org/resource/República_Democràtica_Alemanya	East_Germany	OK
http://ckb.dbpedia.org/resource/ئاڵمانیای_ڕۆژھەڵات	unknown	ER
http://cs.dbpedia.org/resource/Německá_demokratická_republika	East_Germany	OK
http://cv.dbpedia.org/resource/Германи_Демократиллĕ_Республики	East_Germany	ER
http://cy.dbpedia.org/resource/Gweriniaeth_Ddemocrataidd_yr_Almaen	East_Germany	ER
http://da.dbpedia.org/resource/DDR	unknown	ER
http://dbpedia.org/resource/East_Germany	East_Germany	OK
http://de.dbpedia.org/resource/Deutsche_Demokratische_Republik	East_Germany	ER
http://diq.dbpedia.org/resource/Cumhuriyetê_Almanyayo_Demokratik	East_Germany	ER
http://el.dbpedia.org/resource/Λαϊκή_Δημοκρατία_της_Γερμανίας	East_Germany	OK
http://eo.dbpedia.org/resource/Germana_Demokratia_Respubliko	East_Germany	OK
http://es.dbpedia.org/resource/República_Democrática_Alemana	East_Germany	OK
http://et.dbpedia.org/resource/Saksa_Demokraatlik_Vabariik	East_Germany	ER
http://eu.dbpedia.org/resource/Alemaniako_Errepublika_Demokratikoa	East_Germany	OK
http://fa.dbpedia.org/resource/جمهوری_دمکراتیک_آلمان	East_Germany	ER
http://fi.dbpedia.org/resource/Saksan_demokraattinen_tasavalta	East_Germany	ER
http://fr.dbpedia.org/resource/République_démocratique_allemande	East_Germany	ER
http://fy.dbpedia.org/resource/Dútske_Demokratyske_Republyk	East_Germany	ER
http://gl.dbpedia.org/resource/República_Democrática_Alemá	East_Germany	ER
http://he.dbpedia.org/resource/גרמניה_המזרחית	East_Germany	ER
http://hr.dbpedia.org/resource/Njemačka_Demokratska_Republika	East_Germany	ER
http://hu.dbpedia.org/resource/Német_Demokratikus_Köztársaság	East_Germany	ER
http://hy.dbpedia.org/resource/Գերմանիայի_Դեմոկրատական_Հանրապետություն	East_Germany	ER
http://id.dbpedia.org/resource/Jerman_Timur	East_Germany	OK
http://io.dbpedia.org/resource/Est-Germania	East_Germany	ER
http://is.dbpedia.org/resource/Austur-Þýskaland	East_Germany	ER
http://it.dbpedia.org/resource/Repubblica_Democratica_Tedesca	East_Germany	ER
http://ja.dbpedia.org/resource/ドイツ民主共和国	East_Germany	OK
http://jv.dbpedia.org/resource/Jerman_Wétan	East_Germany	ER
http://ka.dbpedia.org/resource/გერმანიის_დემოკრატიული_რესპუბლიკა	East_Germany	ER
http://ko.dbpedia.org/resource/독일_민주_공화국	East_Germany	OK
http://ku.dbpedia.org/resource/Komara_Demokratîk_a_Almanyayê	East_Germany	ER
http://la.dbpedia.org/resource/Res_publica_Democratica_Germanica	East_Germany	ER
http://lt.dbpedia.org/resource/Vokietijos_Demokratinė_Respublika	East_Germany	ER
http://lv.dbpedia.org/resource/Vācijas_Demokrātiskā_Republika	East_Germany	ER
http://mk.dbpedia.org/resource/Германска_Демократска_Република	East_Germany	ER
http://ml.dbpedia.org/resource/കിഴക്കൻ_ജർമ്മനി	East_Germany	ER
http://mr.dbpedia.org/resource/पूर्व_जर्मनी	East_Germany	ER
http://ms.dbpedia.org/resource/Jerman_Timur	East_Germany	ER
http://my.dbpedia.org/resource/ဂျာမန်ဒီမိုကရက်တစ်သမ္မတနိုင်ငံ	East_Germany	ER
http://mzn.dbpedia.org/resource/شرقی_آلمان	East_Germany	ER
http://nds.dbpedia.org/resource/Düütsche_Demokraatsche_Republiek	East_Germany	ER
http://nl.dbpedia.org/resource/Duitse_Democratische_Republiek	East_Germany	OK
http://nn.dbpedia.org/resource/Den_tyske_demokratiske_republikken	East_Germany	ER
http://no.dbpedia.org/resource/Den_tyske_demokratiske_republikk	East_Germany	ER
http://oc.dbpedia.org/resource/Republica_Democratica_Alemanda	East_Germany	ER
http://pl.dbpedia.org/resource/Niemiecka_Republika_Demokratyczna	East_Germany	ER
http://pnb.dbpedia.org/resource/چڑھدا_جرمنی	unknown	ER
http://pt.dbpedia.org/resource/Alemanha_Oriental	East_Germany	OK
http://qu.dbpedia.org/resource/Aliman_Dimukratiku_Republika	unknown	ER
http://ro.dbpedia.org/resource/Republica_Democrată_Germană	East_Germany	ER
http://ru.dbpedia.org/resource/Германская_Демократическая_Республика	East_Germany	ER
http://scn.dbpedia.org/resource/Ripùbblica_Dimucràtica_Tidesca	East_Germany	ER
http://sh.dbpedia.org/resource/Nemačka_Demokratska_Republika	East_Germany	ER
http://simple.dbpedia.org/resource/German_Democratic_Republic	East_Germany	ER
http://sk.dbpedia.org/resource/Nemecká_demokratická_republika	East_Germany	ER
http://sl.dbpedia.org/resource/Nemška_demokratična_republika	East_Germany	ER
http://sq.dbpedia.org/resource/Gjermania_Lindore	East_Germany	ER
http://sr.dbpedia.org/resource/Источна_Немачка	East_Germany	ER
http://sv.dbpedia.org/resource/Östtyskland	East_Germany	OK
http://sw.dbpedia.org/resource/Jamhuri_ya_Kidemokrasia_ya_Kijerumani	East_Germany	ER
http://ta.dbpedia.org/resource/ஜெர்மன்_சனநாயகக்_குடியரசு	East_Germany	ER
http://th.dbpedia.org/resource/ประเทศเยอรมนีตะวันออก	East_Germany	ER
http://tl.dbpedia.org/resource/Silangang_Alemanya	East_Germany	ER
http://tr.dbpedia.org/resource/Demokratik_Almanya_Cumhuriyeti	East_Germany	ER
http://tr.dbpedia.org/resource/Doğu_Almanya	East_Germany	ER
http://tt.dbpedia.org/resource/Демократик_Алмания_Җөмһүрияте	East_Germany	ER
http://uk.dbpedia.org/resource/Німецька_Демократична_Республіка	East_Germany	OK
http://ur.dbpedia.org/resource/مشرقی_جرمنی	East_Germany	ER
http://uz.dbpedia.org/resource/Germaniya_Demokratik_Respublikasi	East_Germany	ER
http://vec.dbpedia.org/resource/Repùblica_Democràtica_Todèsca	East_Germany	ER
http://vi.dbpedia.org/resource/Cộng_hòa_Dân_chủ_Đức	East_Germany	ER
http://war.dbpedia.org/resource/Sinirangan_Alemanya	East_Germany	ER
http://war.dbpedia.org/resource/Sinirangan_nga_Alemanya	East_Germany	ER
http://www.wikidata.org/entity/Q16957	East_Germany	OK
http://yi.dbpedia.org/resource/מזרח_דייטשלאנד	East_Germany	ER
http://yo.dbpedia.org/resource/Ìlàoòrùn_Jẹ́mánì	East_Germany	ER
http://zh-min-nan.dbpedia.org/resource/Tang-tek	East_Germany	ER
http://zh-yue.dbpedia.org/resource/東德	East_Germany	ER
http://zh.dbpedia.org/resource/東德	East_Germany	ER
http://ar.dbpedia.org/resource/%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A7_%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9	East_Germany	ER
http://el.dbpedia.org/resource/Λαοκρατική_Δημοκρατία_της_Γερμανίας	East_Germany	OK
http://ko.dbpedia.org/resource/독일민주공화국	East_Germany	OK
